run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight	b2B9_log_P	b2B9_weight	b2A7_log_P	b2A7_weight	b2A9_log_P	b2A9_weight	b2A4_log_P	b2A4_weight	b2A8_log_P	b2A8_weight
samp_77	-0.024980567710709854	-4.9222279737405605	1.0	-2.1753950352508533	1.0	-4.785552659799398	1.0	-4.551837033321002	1.0	-0.592365678300019	2.0	-4.683743837640257	2.0		0.0	-5.1462938179522695	3.0	-1.5206883456469613	1.0	-4.09062009125589	1.0		0.0	-7.743906371982121	1.0	-4.890089057303463	3.0	-0.3528246923212757	1.0	-4.184042666754082	1.0		0.0	-5.237565372311578	1.0		0.0	-9.684689288663078	1.0		0.0		0.0	-5.305510996720989	2.0		0.0
samp_78	0.07775942802313195	-4.940097747118999	1.0	-2.1721334586697973	1.0		0.0		0.0	-0.5923603033503453	1.0	-4.700753381294475	2.0		0.0	-5.165241343816502	1.0		0.0	-4.098883978090528	1.0	-4.578330416597752	2.0	-7.777765120324898	2.0		0.0	-0.35303545811826115	1.0	-4.197649048484356	1.0	-4.68459554922949	1.0		0.0	-6.276405056425908	2.0	-9.73404888694741	1.0		0.0	-7.195143457217907	2.0	-5.325532002572904	2.0	-9.901976428780543	2.0
samp_79	0.3361136791929592	-4.97986461159123	1.0		0.0		0.0		0.0	-0.5923042030328595	1.0		0.0	-4.7223820790813695	2.0	-5.2076326660275045	1.0	-1.5138815756634247	1.0		0.0	-4.608266267435774	1.0	-7.856631478449449	2.0	-4.948348569024745	1.0		0.0	-4.2272159915225735	1.0	-4.721302231540716	1.0	-5.304161798934114	3.0	-6.33441172602256	2.0	-9.847778004715549	2.0	-10.089448619760367	1.0		0.0	-5.370570661407961	1.0	-10.01232749405403	2.0
samp_80	0.09214928115729172		0.0		0.0	-4.804658332248236	2.0		0.0		0.0	-4.703040356564522	3.0	-4.689306685048951	1.0	-5.16779641267604	1.0		0.0	-4.099958106486974	1.0	-4.5801800793237835	2.0	-7.782386928520485	1.0	-4.910563990207249	4.0	-0.35305769147169996	1.0	-4.199463555526144	1.0	-4.686826339908337	1.0	-5.260799000048828	1.0		0.0		0.0	-9.983843746230258	1.0	-7.199288459108223	1.0	-5.328241404269184	2.0		0.0
samp_81	0.4635665286016672	-4.9969102880374265	4.0	-2.16140087475011	1.0	-4.855527294729884	1.0		0.0		0.0	-4.754546633520643	1.0	-4.737297105194863	1.0		0.0	-1.5118952944097503	2.0		0.0		0.0	-7.892145355704996	1.0	-4.965608041966082	1.0	-0.35359771746281377	1.0	-4.239570736352548	2.0	-4.7369212060910355	2.0	-5.324212521176665	1.0	-6.360088519937444	2.0		0.0	-10.139303953514965	1.0	-7.296866799119883	1.0		0.0	-10.061395206333165	1.0
samp_82	0.21735424213703256		0.0	-2.1679434366097126	1.0	-4.823406312890812	1.0	-4.5852710256852935	1.0		0.0	-4.722003041204846	3.0		0.0		0.0		0.0		0.0	-4.595340193871107	1.0		0.0	-4.930761041665546	2.0		0.0	-4.214425309703293	2.0	-4.705296110441022	1.0	-5.283881530541152	2.0	-6.308750020511746	1.0	-9.79735706513133	1.0	-10.039711852488738	2.0	-7.23417262044445	1.0	-5.350797252968385	4.0		0.0
samp_83	0.05985789953274768	-4.937069560554761	1.0	-2.1726897423269	1.0	-4.7995441673601595	2.0	-4.564260121989428	1.0		0.0	-4.6978733719168755	1.0	-4.684454628619616	1.0	-5.162026333603332	1.0	-1.5189271011626437	3.0		0.0	-4.576004216581886	1.0	-7.771954638162943	2.0	-4.905077122539151	1.0	-0.35299985852884463	4.0	-4.195355277169171	1.0		0.0	-5.254554372564024	1.0		0.0	-9.725609978670482	1.0		0.0		0.0		0.0	-9.893792801127411	1.0
samp_84	-0.32563216812142104		0.0		0.0		0.0		0.0	-0.5922922904733248	1.0		0.0	-4.617354352752095	3.0	-5.08371963377151	2.0		0.0	-4.060032209204472	3.0	-4.517039490891027	1.0	-7.637298023268278	2.0		0.0	-0.35200882724498334	4.0		0.0		0.0	-5.170508692028489	1.0		0.0	-9.527548911816588	1.0	-9.772838360996298	1.0	-7.068862925939126	1.0	-5.239762265281144	2.0	-9.701533484064752	1.0
samp_85	0.27705274026083415	-4.971403278243376	1.0		0.0	-4.831756693002215	1.0		0.0	-0.5923219462723205	2.0	-4.730451344458572	2.0		0.0		0.0	-1.514871436834002	2.0		0.0	-4.602006315395998	2.0	-7.839407706861693	2.0		0.0	-0.35336377446257866	1.0	-4.221011753711038	2.0	-4.713521074010679	1.0	-5.294274515045027	1.0	-6.321859228871641	1.0	-9.823100662642412	1.0		0.0	-7.250093669005881	2.0	-5.360930109446271	1.0	-9.988382588870373	1.0
samp_86	0.27463543183892714	-4.971049656424138	3.0	-2.166329298115724	3.0	-4.831423485593845	1.0		0.0	-0.5923218596722541	1.0	-4.730116849339758	3.0		0.0	-5.198207449073772	1.0	-1.5149169165493608	2.0	-4.112012975177111	1.0		0.0		0.0	-4.939428164156375	2.0		0.0		0.0		0.0	-5.293863320273785	1.0	-6.321336923366563	3.0	-9.822076716091361	1.0		0.0		0.0		0.0	-9.987386687272037	1.0
