run	log_tbg	log_alphap	log_betap	b9E5_log_P	b9E5_weight	b9E8_log_P	b9E8_weight	b9F3_log_P	b9F3_weight	b9F4_log_P	b9F4_weight	b9F5_log_P	b9F5_weight	b9F6_log_P	b9F6_weight	b18F3_log_P	b18F3_weight	b18F8_log_P	b18F8_weight	b18F9_log_P	b18F9_weight	b18G1_log_P	b18G1_weight	b18G2_log_P	b18G2_weight	b18G6_log_P	b18G6_weight	b18G7_log_P	b18G7_weight	b18G9_log_P	b18G9_weight	b18H1_log_P	b18H1_weight	b18H3_log_P	b18H3_weight	b17E2_log_P	b17E2_weight
samp_71	-7.203642290887726	1.326734734935292	0.32891435703286603	-0.6843448698999814	1.0		0.0	-8.776681795153541	2.0	-9.49522201489547	1.0	-8.966495651283303	3.0		0.0		0.0	-7.896678841163121	3.0	-3.1052533060127714	1.0	-7.2868990936858085	1.0	-3.609442112003161	2.0		0.0		0.0		0.0	-4.631725670238787	1.0	-3.664770150428601	2.0		0.0
samp_72	-6.400351425458118	1.9602646085182314	-0.3044490445951034		0.0		0.0		0.0	-9.878323299126258	1.0	-9.15907538844101	1.0	-7.128994794618796	2.0		0.0	-8.005747194021776	4.0		0.0	-7.346367727722359	1.0	-3.5769445890747136	1.0	-1.1057714493180077	2.0	-6.400621685132791	1.0		0.0	-4.622286997984014	1.0	-3.6287308162934524	2.0	-5.496055102113391	1.0
samp_73	-6.785765826855812	1.520488328666833	0.21044991954576642	-0.6420335641528234	1.0		0.0		0.0	-9.720117011008806	2.0	-9.099686590426662	3.0	-7.149787762794982	2.0	-6.3266625368851015	1.0	-7.987751950614193	3.0	-3.133667328268752	1.0		0.0		0.0		0.0	-6.4291875961378935	1.0	-5.146196718355433	1.0	-4.668088382114094	1.0		0.0	-5.534373764759337	1.0
samp_74	-6.737990238534755	2.215783458005943	-0.2956686325067602		0.0		0.0	-9.035396259123889	1.0	-9.900116526615555	1.0	-9.239378784035306	2.0	-7.251893586452716	1.0		0.0	-8.110087522705104	1.0	-3.176209145792084	2.0		0.0	-3.6892794366780453	1.0	-1.1338120034873345	2.0	-6.5255768326249655	1.0		0.0	-4.746106938105457	2.0	-3.740034995856004	1.0	-5.622323034600018	2.0
samp_75	-6.981339836755729	1.6255186845512744	-0.01478583976070907	-0.5323791481042149	1.0	-9.686031166396468	1.0		0.0	-9.542315813224752	2.0	-8.979659974454378	1.0		0.0	-6.259712825829891	2.0		0.0		0.0	-7.274252381058819	2.0	-3.57302478069045	1.0	-1.2061182908311232	1.0		0.0	-5.082353640109704	1.0	-4.604557651745712	1.0	-3.6268590385815815	2.0	-5.4701874353916375	2.0
samp_76	-6.691281791431916	2.337101645279589	-0.45762555869752713		0.0		0.0	-9.019358723493532	1.0	-9.890329117332467	2.0	-9.22400868378369	1.0	-7.23204379980635	2.0	-6.4010710973215765	1.0		0.0		0.0		0.0	-3.6579285978026848	1.0	-1.080516305255937	2.0	-6.5047063933255	1.0	-5.205790485432359	1.0	-4.721269761330906	1.0	-3.7071291407579054	4.0		0.0
samp_77	-7.465932394400438	1.5553713741999402	0.17081400792494633	-0.6239366440365149	2.0	-9.61596013431479	2.0	-8.782979137701453	1.0		0.0	-8.968713881139111	2.0	-7.125016953579148	2.0		0.0	-7.914539237946016	1.0	-3.12874829145985	1.0	-7.312267926914606	2.0	-3.634764601908486	2.0		0.0		0.0	-5.13944181456771	1.0		0.0		0.0	-5.525938708584324	1.0
samp_78	-7.7909211493231405	1.4897085002032686	0.06823720336937773	-0.5546326941387534	3.0	-9.438958238848894	2.0	-8.65528598166932	3.0	-9.285802960540874	1.0	-8.834793939821811	1.0		0.0	-6.222802622554123	1.0	-7.804721315014992	1.0		0.0	-7.2139818984359225	1.0		0.0	-1.2292644296114759	1.0		0.0	-5.054321440420282	1.0	-4.578587963715847	1.0		0.0	-5.4400212041300495	1.0
samp_79	-6.974693043941695	1.2877084492857112	0.4262057025961618	-0.739876153593217	1.0	-9.762084851557251	1.0	-8.850327266061498	2.0		0.0		0.0	-7.133436494812749	1.0		0.0	-7.953499126750764	3.0	-3.137094096016341	3.0		0.0		0.0		0.0	-6.416302007537032	2.0	-5.139035648630127	1.0		0.0	-3.696689236830953	2.0	-5.525698467331907	1.0
samp_80	-7.683849070695707	1.5140928186807665	0.05176808649454397	-0.5496070622011887	2.0	-9.463653309483703	2.0	-8.668817332456097	1.0	-9.31084949088035	1.0	-8.84976100276962	2.0		0.0	-6.227656889881468	2.0	-7.814184970689513	1.0		0.0	-7.220947999586982	1.0	-3.5550698241264165	1.0	-1.2243278869238277	1.0	-6.328142147189607	1.0		0.0	-4.582323865259232	1.0		0.0	-5.4442200742968	1.0
samp_81	-7.211769914760903	1.4406380855712335	0.25610104552656765	-0.6573907759524608	1.0	-9.667931933018258	1.0	-8.800007171369028	2.0	-9.522001271415956	1.0	-8.990131275734065	1.0	-7.116508556889945	1.0	-6.300589361086832	1.0		0.0	-3.1203784821313616	1.0	-7.308275886929843	2.0	-3.6254980108300616	1.0		0.0	-6.401929313980235	2.0	-5.127199703978698	1.0	-4.650662663804014	1.0	-3.6804379894946795	1.0		0.0
samp_82	-7.169721894066224	1.2785682674005898	0.2601126229182375	-0.6319452559144226	2.0	-9.573184606779751	2.0		0.0	-9.423899137028519	1.0		0.0		0.0	-6.221022884060517	1.0	-7.834267124575958	1.0	-3.047843370905796	1.0	-7.226271494679857	2.0		0.0		0.0	-6.322198027308218	3.0		0.0	-4.573416483449263	1.0	-3.6069993485231056	1.0	-5.435257084926535	2.0
samp_83	-6.902679145996728	-12.949970033213564	14.753691052371392		0.0	-9.856967781795316	1.0	-8.921624858882694	2.0	-9.723997447394993	1.0		0.0	-7.184867583189192	2.0		0.0	-8.016388782141476	1.0	-3.238867270418236	2.0		0.0	-3.7293983941028497	1.0		0.0	-6.468100078628879	1.0	-5.196026329570127	3.0	-4.723262646947496	1.0		0.0	-5.5797005430100555	2.0
samp_84	-7.533166218289365	1.4469070782389304	0.15701433989563843	-0.5991648979532604	2.0	-9.519514658577172	1.0		0.0		0.0	-8.888451631519974	1.0	-7.060846306657973	1.0	-6.248839189429078	3.0	-7.84334561331041	2.0		0.0		0.0	-3.5776311304413704	1.0		0.0		0.0		0.0		0.0	-3.632280407365504	1.0	-5.464750072249663	5.0
samp_85	-8.112209764086597	-13.865208885955235	15.444746250631402		0.0	-9.403046631603665	1.0	-8.644896851924742	1.0		0.0	-8.821016161733006	2.0	-7.041039652243574	1.0	-6.235892800351082	2.0	-7.80447362076425	2.0	-3.120980973409731	1.0	-7.220091882523165	1.0		0.0		0.0	-6.335664477736959	2.0	-5.0778128926854835	1.0	-4.606937194300801	1.0	-3.671891565672043	2.0		0.0
samp_86	-6.687419729959893	1.496347448917244	0.13365299936585084	-0.5939069111331203	1.0	-9.823544801496473	1.0		0.0	-9.6892149464695	2.0		0.0	-7.100713038138155	3.0	-6.2769769784076175	1.0	-7.941408070907961	3.0		0.0	-7.305716787192794	1.0		0.0		0.0		0.0	-5.096006012957113	4.0		0.0	-3.6443231329033545	1.0		0.0
samp_87	-6.116701861112656	1.3391374516201757	0.3556639689490384	-0.7035835783482466	2.0		0.0		0.0	-10.133548958491469	2.0		0.0		0.0	-6.332400596424793	1.0	-8.097401933271032	2.0	-3.125878945283046	4.0	-7.407375027221261	3.0	-3.6311442121116393	1.0		0.0	-6.437761900848204	2.0		0.0		0.0		0.0		0.0
samp_88	-7.007700806736067	1.9737797147876892	-0.2996169271702872		0.0	-9.721068314069583	2.0		0.0	-9.57904732174127	2.0	-9.013743226707101	1.0		0.0	-6.289697932256843	1.0	-7.925767230604689	1.0		0.0		0.0	-3.584096892792205	2.0	-1.1093582362989491	2.0	-6.3916683767427385	1.0	-5.10813887756583	1.0		0.0	-3.635696758068096	2.0	-5.497825241928273	2.0
samp_89	-7.11802110242363	1.5955830898130925	0.14663043085425534	-0.6159013001435505	2.0	-9.73069051852035	3.0		0.0	-9.588179216526997	1.0	-9.035045158594558	1.0	-7.142865823442877	2.0	-6.324853125552711	1.0	-7.95372887396249	1.0	-3.1346674440620803	1.0	-7.337466376864802	1.0	-3.64124193767049	1.0		0.0		0.0	-5.14863789072555	1.0		0.0	-3.695582920268189	1.0	-5.5361013046127265	1.0
samp_90	-7.092264891190282	1.7093585568815863	-0.009610133875178329	-0.5483787774309387	2.0	-9.709259908255369	1.0	-8.820659859826678	2.0	-9.566022841074036	1.0		0.0		0.0	-6.302905326421508	1.0		0.0		0.0	-7.315703409683769	1.0	-3.613490947392787	1.0	-1.2210751195857694	1.0	-6.40460176526601	1.0	-5.1255042237326	2.0	-4.647396945375184	2.0	-3.667079004467911	2.0		0.0
samp_91	-6.703974894329968	1.8346859486052733	0.06703792669668343	-0.602213930143455	2.0	-10.020589701615789	1.0		0.0	-9.902593759991053	1.0	-9.236137998764367	1.0	-7.244734581516735	5.0	-6.416376926243881	1.0	-8.10514891022888	2.0	-3.1991158086355833	1.0		0.0	-3.7091587745266983	1.0		0.0		0.0	-5.228913005255702	1.0		0.0	-3.7627812782786587	1.0		0.0
samp_92	-7.621466306550319	1.92381560160693	-0.250253322192439		0.0	-9.544458869622122	2.0		0.0		0.0	-8.917946808883794	2.0	-7.093983052483849	1.0	-6.280654563014316	1.0	-7.875009693555361	1.0	-3.0788815824296303	1.0	-7.277960021203995	1.0		0.0	-1.1261908975697579	2.0		0.0	-5.1060760801415706	1.0		0.0	-3.6384682911725865	2.0	-5.494148119211257	3.0
samp_93	-6.630001428685635	2.027517894722515	-0.31240100897455864		0.0		0.0		0.0	-9.787346664585273	2.0	-9.12963304252654	1.0	-7.147820902031445	2.0	-6.319716524717344	1.0	-8.001222275805256	1.0		0.0	-7.356879779053103	1.0	-3.60152256385937	1.0	-1.1099299001908955	1.0	-6.422953039417842	2.0	-5.1305966357528705	2.0	-4.649065968836199	1.0	-3.652942232686834	1.0	-5.522029673639713	1.0
samp_94	-7.142752046344759	1.5331015890866602	0.05564440495993855	-0.5552777212918495	3.0	-9.615375364293092	1.0	-8.745943168143603	1.0	-9.467772821835792	2.0	-8.936309614209662	1.0		0.0	-6.2460064242959685	2.0	-7.864356111933448	1.0		0.0		0.0		0.0	-1.230039582049089	1.0		0.0		0.0		0.0	-3.6205283848607386	2.0	-5.458660290411281	3.0
samp_95	-6.860063512212626	1.6055176301498133	0.17756858761145333	-0.6344206707065848	1.0		0.0	-8.916860592506602	1.0	-9.72669012565476	1.0	-9.115967366688912	2.0	-7.174077652225339	2.0	-6.351441593486995	1.0	-8.008513240723238	2.0	-3.15491684891461	1.0		0.0		0.0		0.0	-6.453873377005053	1.0		0.0	-4.692560460987619	2.0	-3.716385708992525	1.0	-5.559296819810181	2.0
