run	log_tbg	log_alphap	log_betap	b3D3_log_P	b3D3_weight	b7G5_log_P	b7G5_weight	b7G6_log_P	b7G6_weight	b7G7_log_P	b7G7_weight	b7G8_log_P	b7G8_weight	b7G9_log_P	b7G9_weight	b7H1_log_P	b7H1_weight	b7H2_log_P	b7H2_weight	b7H3_log_P	b7H3_weight	b7H4_log_P	b7H4_weight	b7H5_log_P	b7H5_weight	b7H6_log_P	b7H6_weight	b7H7_log_P	b7H7_weight	b7H8_log_P	b7H8_weight	b7H9_log_P	b7H9_weight	b7I1_log_P	b7I1_weight	b7I2_log_P	b7I2_weight	b7I3_log_P	b7I3_weight	b7I4_log_P	b7I4_weight	b7I5_log_P	b7I5_weight	b7I7_log_P	b7I7_weight	b7I8_log_P	b7I8_weight	b7I9_log_P	b7I9_weight
samp_56	-7.258012362271703	2.868414148325824	0.5981111191135218	-4.515832316950581	1.0		0.0	-8.673705041123005	2.0	-5.017219276981985	1.0		0.0	-2.5262902363824855	1.0		0.0		0.0		0.0	-4.00839844084763	5.0	-2.689930947585121	1.0		0.0	-6.218190716071236	1.0	-5.625055217369883	1.0		0.0	-10.716792712021716	1.0		0.0		0.0	-7.714945487986614	1.0	-3.9623652895687695	2.0	-8.268485350213329	2.0	-10.560993992032431	1.0	-7.2948281409983515	3.0
samp_57	-7.117301347375175	3.7602996031892966	0.03289530491222937	-4.578319596410432	3.0		0.0	-8.903670230374495	1.0	-5.120248756080688	1.0		0.0		0.0		0.0	-4.848852676196577	1.0	-0.06482286359684582	2.0		0.0		0.0	-4.040165480929764	2.0		0.0	-5.758310234648063	1.0	-5.342255564142568	1.0	-11.095778347006444	1.0		0.0	-1.592505117833502	2.0	-7.89725614545027	2.0	-3.9851803641204935	2.0	-8.466431227925904	2.0	-10.850426910188625	1.0	-7.471959609927951	1.0
samp_58	-6.4004664953757056	4.079167484555725	-0.08473652696158804	-4.624665579369511	2.0	-10.275123395988574	1.0	-9.220447417570012	1.0	-5.190764918034677	1.0	-5.056541143164462	1.0		0.0	-3.072046274187521	2.0	-4.912807291972184	2.0	-0.059098337384571896	1.0		0.0	-2.5550809875836418	2.0		0.0	-6.478443924091372	1.0	-5.850701246080199	2.0		0.0	-11.511750651517463	4.0		0.0		0.0	-8.079194123768136	2.0	-4.012262528446479	1.0		0.0		0.0		0.0
samp_59	-6.197337741207342	3.779480463805267	0.07199198237343232		0.0	-10.207712291459929	2.0	-9.153790780851025	1.0	-5.155699008221786	1.0	-5.021527569695371	1.0	-2.4181172046854815	2.0	-3.1069743034646415	1.0		0.0		0.0	-4.0698459977199315	2.0	-2.5786411830192772	2.0		0.0		0.0	-5.800204089837348	2.0		0.0	-11.436715491760127	3.0	-3.8585143543976037	2.0	-1.5987482971634006	1.0		0.0	-4.010406471839331	1.0	-8.612003960402284	1.0		0.0	-7.6349254077617275	1.0
samp_60	-7.310053956429024	3.501492425615034	0.1640816512897824	-4.55139190602926	3.0		0.0	-8.790269522933277	4.0	-5.078574117139463	1.0		0.0		0.0		0.0	-4.810273731176336	1.0		0.0	-4.026018340295622	1.0		0.0	-4.0277418358820345	2.0	-6.307615971070691	2.0	-5.704980693409329	1.0		0.0	-10.893801271792846	1.0		0.0	-1.6175524389956557	1.0	-7.818172111660838	1.0	-3.971249772571571	1.0	-8.377302304146024	1.0	-10.712293169370168	2.0	-7.39222210857164	1.0
samp_61	-5.723139725022149	4.079013090769024	-0.08473718081468028		0.0	-10.526531774096448	1.0		0.0	-5.2032189603915295	3.0	-5.0666906040874595	1.0		0.0	-3.0746073095239783	3.0	-4.92176283551774	4.0	-0.05953010637883672	1.0		0.0	-2.556631793760125	2.0		0.0	-6.511617094804923	1.0		0.0	-5.436210676819587	2.0		0.0		0.0		0.0		0.0		0.0	-8.780701465611976	3.0		0.0	-7.871272010318258	2.0
samp_62	-7.560661457323673	3.6424732180682744	0.1324220550481866	-4.585240104191125	1.0		0.0	-8.825011440556645	2.0	-5.1201362966043815	1.0	-4.988210363058372	2.0	-2.42509744428867	1.0	-3.1162437527329714	1.0	-4.850096021958149	2.0	-0.07385512503932964	1.0		0.0		0.0	-4.052879799969652	3.0		0.0	-5.752009580345374	1.0	-5.338720686346566	1.0		0.0	-3.842202629206107	2.0	-1.6094199844672374	1.0	-7.865953583644898	1.0		0.0	-8.422746482010622	1.0	-10.755385864403369	1.0	-7.435357058255512	1.0
samp_63	-7.498929195780969	3.586416995704519	0.038216692700083904		0.0	-9.368471476425615	1.0	-8.740341035383357	1.0	-5.051047488097665	1.0	-4.920136046035998	1.0	-2.397445922217793	1.0	-3.076289459968691	2.0	-4.783091703334963	1.0	-0.06381091509108014	1.0	-3.9958283851010736	1.0		0.0		0.0		0.0	-5.679824777750882	1.0	-5.268507598788105	1.0	-10.774748162435502	1.0	-3.7873104446263897	1.0	-1.5938428688874202	3.0		0.0		0.0	-8.34184761547341	1.0	-10.644917591481082	4.0	-7.357872341625044	1.0
samp_64	-6.094559609944198	4.300018446390764	-0.12214743483318995	-4.669226664808532	3.0	-10.597825110547026	1.0	-9.460983620228436	3.0	-5.256599694084257	1.0		0.0	-2.4007407401098972	1.0	-3.069355719281408	2.0		0.0		0.0	-4.110218732110741	1.0	-2.5561225396744898	2.0		0.0		0.0	-5.936622225269532	1.0	-5.498523252298368	2.0	-11.783280506311648	1.0	-3.9070685641424205	2.0		0.0		0.0	-4.040641052828859	1.0	-8.86506891028401	2.0		0.0		0.0
samp_65	-6.347006588723281	3.7030538631119567	0.05033465458162833	-4.571724749244875	1.0	-10.035708064603266	2.0		0.0	-5.111945447787368	2.0		0.0	-2.4089131000531507	1.0	-3.093360829720787	1.0		0.0		0.0	-4.038313671237793	2.0	-2.568762314729973	1.0	-4.035716754268334	1.0	-6.365589669462961	1.0	-5.750781918492361	2.0	-5.332421831702837	1.0		0.0		0.0	-1.5960753981219915	1.0		0.0	-3.9802217378245146	1.0	-8.525273549482757	3.0	-10.924025462225531	1.0	-7.542694597569597	2.0
