run	log_F	b5H1_log_P	b5H1_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
samp_45	-0.26219415189593226	-2.2161677698130178	2.0	-0.7764105203651062	1.0	-4.255303682627921	1.0	-4.943560216204067	2.0	-1.818224243461489	1.0		0.0	-0.7543760748449695	1.0		0.0
samp_46	0.38089403003624867		0.0	-0.5584824901237564	1.0		0.0	-4.777912279957129	3.0		0.0	-2.227232650764684	2.0	-0.5290611654284025	1.0	-4.55631720423461	1.0
samp_47	-1.202300892235387		0.0	-0.957760741766647	2.0	-4.408912233354709	2.0	-5.099196486220103	1.0		0.0	-2.5650366582950364	2.0	-0.9413009447629955	1.0		0.0
samp_48	-1.3493363548726995	-2.3938755576799644	3.0		0.0	-4.424946120661976	1.0	-5.115515254612208	1.0	-2.0019941158923062	2.0		0.0		0.0	-4.887325777270561	1.0
samp_49	-1.3815030554104273	-2.3972297261615325	3.0		0.0	-4.428213063838717	1.0	-5.1188403864407475	1.0	-2.005435004658454	2.0	-2.584830558668909	1.0		0.0		0.0
samp_50	-18.30779128572906		0.0	-1.0978423591559823	1.0	-4.540204678805496	2.0		0.0		0.0	-2.6982511478753244	2.0	-1.0856249826662423	3.0		0.0
samp_51	0.3541064132186667		0.0	-0.5694660180026809	1.0	-4.098316570388084	1.0	-4.785789366604068	3.0	-1.6384390754475533	1.0		0.0	-0.5404952520037333	1.0	-4.56406378920747	1.0
samp_52	-17.607981063621573	-2.510722809544306	2.0		0.0	-4.540145331495468	1.0		0.0		0.0		0.0	-1.0855899564675935	4.0	-5.002352136584683	1.0
samp_53	-20.560723774655415	-2.5107261570539814	1.0	-1.097845563125623	1.0	-4.5402024057685315	1.0		0.0	-2.1212099808459923	2.0		0.0	-1.085625736819343	2.0	-5.002348176801023	1.0
samp_54	-1.1569310181118306	-2.371880497505898	1.0	-0.9517930631727669	3.0	-4.403583942902072	1.0	-5.093775570088849	1.0		0.0	-2.559558863732245	1.0	-0.9351554525595578	1.0		0.0
samp_55	-18.500274272766983	-2.510728166679513	1.0		0.0	-4.540200453329554	1.0		0.0	-2.121218059022203	1.0	-2.698263584583004	2.0	-1.0856413360967687	1.0	-5.002370353752623	2.0
samp_56	-18.345517360120237		0.0		0.0	-4.540209843195258	1.0		0.0	-2.121216827336315	1.0	-2.6982467331775393	3.0	-1.085623810576503	3.0		0.0
samp_57	-1.3753342827647455	-2.3965934908358557	1.0	-0.9785071206266799	1.0		0.0	-5.11820971185998	1.0		0.0	-2.5841969173386343	1.0	-0.9626720244417453	3.0	-4.889962183434995	1.0
samp_58	-18.377757864710667	-2.5107299488104893	2.0		0.0	-4.540214336562552	2.0		0.0	-2.121202235230312	1.0		0.0	-1.085622682283379	1.0	-5.002345717135014	2.0
samp_59	-18.57854160968644		0.0	-1.0978074086492833	1.0	-4.540214741492351	1.0		0.0	-2.121255979897345	3.0	-2.6982472352181115	2.0		0.0	-5.002400752180245	1.0
samp_60	-21.536523538091277	-2.5107252195075627	1.0	-1.0978471845406748	2.0	-4.540203812159241	1.0		0.0	-2.1212094779175366	1.0	-2.698248598502745	1.0	-1.085624270862988	1.0	-5.002349138624355	1.0
samp_61	-1.2832987211624562	-2.3867064095359933	1.0	-0.9678558680453309	1.0	-4.417979180500011	3.0	-5.108416942694903	1.0	-1.9946360426314493	1.0		0.0	-0.9517054026886306	1.0		0.0
samp_62	-17.851008984859288	-2.5107437411657463	2.0		0.0	-4.540197419741556	2.0		0.0	-2.1212148759450145	1.0		0.0	-1.0856281811500064	3.0		0.0
samp_63	-1.1562340486558553	-2.3717989747805337	1.0		0.0	-4.403502801790722	2.0	-5.093689785417155	1.0		0.0	-2.559476419568695	2.0		0.0	-4.865980653496561	2.0
samp_64	-1.4201933192429184	-2.401148250511727	2.0	-0.9833997817370805	1.0		0.0	-5.1227343536401175	1.0	-2.0094524866836156	2.0	-2.588739842110792	2.0		0.0		0.0
samp_65	-1.5510747098887794		0.0		0.0	-4.444095207692096	1.0	-5.135031550779656	1.0	-2.0221121577694587	1.0	-2.6010796300114225	1.0	-0.981325023391268	3.0	-4.906418545284378	1.0
samp_66	-1.964561557353244		0.0		0.0		0.0	-5.166157177030073	1.0	-2.053908278955334	4.0	-2.632120022305971	2.0	-1.0152271959063375	1.0		0.0
samp_67	-1.2366580508943315	-2.3814076797930843	1.0	-0.9621241347714549	1.0	-4.412828134812625	2.0	-5.103175494519666	1.0	-1.9891982462461273	1.0	-2.5690569845560915	1.0		0.0	-4.875258130843164	1.0
samp_68	0.2786957309519844		0.0		0.0		0.0	-4.80753077403779	3.0	-1.6639117788437028	1.0		0.0	-0.5716020920377198	1.0	-4.585417769750975	3.0
samp_69	-0.27308662755718127		0.0		0.0	-4.257656607903141	3.0	-4.9459378141766175	2.0		0.0		0.0	-0.7573945584851499	3.0		0.0
samp_70	-1.5443259683091426		0.0	-0.9959698144594372	1.0	-4.44351195829637	1.0	-5.134428397893758	1.0	-2.0214980502884488	3.0	-2.600469857232008	1.0		0.0	-4.905823366109631	1.0
samp_71	-17.816725521630854	-2.5107247911623056	1.0	-1.0978461624441833	1.0		0.0		0.0	-2.121210363559258	1.0	-2.698247751880533	3.0		0.0	-5.002351054788089	2.0
samp_72	-1.4492704847022981		0.0	-0.9864696551503042	2.0	-4.434826372887337	1.0	-5.125579755855904	1.0	-2.012388157942782	2.0		0.0	-0.9708712571907009	1.0	-4.8971680187299365	1.0
samp_73	-17.457299818232855	-2.5107290436698024	1.0	-1.0978486219527817	2.0	-4.54020925497979	1.0		0.0		0.0	-2.698246955143417	1.0	-1.0856296266395102	1.0	-5.002352325786077	2.0
