run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B5_log_P	b2B5_weight
samp_50	-1.2970550143921977	-4.992036125023535	1.0		0.0	-4.833127741069869	2.0	-4.622128020491994	2.0	-0.6285060911915386	2.0		0.0	-4.802325372917648	1.0	-5.130512575371955	1.0		0.0	-4.15773681850726	1.0		0.0	-7.398511193808043	2.0	-4.701470380950431	1.0	-0.3524374366713747	2.0		0.0
samp_51	-1.3790762862114085		0.0	-2.3177645545109056	1.0		0.0	-4.596598583083361	2.0	-0.6299192822546332	2.0		0.0	-4.77584957707387	1.0	-5.10218297987688	2.0		0.0	-4.1368139051285295	2.0	-4.550787112604798	1.0	-7.360612022472338	2.0	-4.6743212231314795	2.0		0.0		0.0
samp_52	-1.2969575955944341	-4.99206568678794	2.0	-2.3145109466823004	1.0	-4.833159682998353	3.0	-4.622154868700376	1.0		0.0		0.0	-4.802355490426837	1.0	-5.130543324684042	2.0	-1.6215212421373297	2.0		0.0		0.0	-7.398557530832964	1.0		0.0		0.0	-4.988349413639194	2.0
samp_53	-0.9200271508469132	-5.111222446699355	1.0		0.0		0.0	-4.730390973869601	1.0		0.0	-4.799742421970046	1.0	-4.915394058640029	2.0		0.0	-1.5970488271732475	3.0	-4.242546818590518	1.0		0.0	-7.5696609803748744	2.0		0.0		0.0	-5.112226665340468	4.0
samp_54	-1.4174485375670989		0.0		0.0		0.0	-4.584427506819614	2.0		0.0	-4.646636971071303	1.0	-4.763255657728688	2.0	-5.0887497542963676	1.0	-1.6292423983195665	1.0		0.0	-4.538895222159078	4.0	-7.342843871247112	1.0		0.0	-0.3512006856760249	2.0	-4.946107240733679	1.0
samp_55	-1.3728790931227979	-4.966468977520517	1.0	-2.3175630833126464	1.0		0.0		0.0	-0.6298117221641222	1.0	-4.6613222831580154	1.0	-4.77784281613871	1.0	-5.1043565946019624	1.0	-1.6264242297193496	3.0		0.0	-4.552681175407617	2.0	-7.3634759762477655	2.0	-4.67638010270401	1.0	-0.35170207046525803	1.0		0.0
samp_56	-1.559386400040392		0.0	-2.322008975300128	4.0	-4.745131631911729	1.0		0.0		0.0	-4.598672806600622	3.0		0.0		0.0	-1.6377996550575402	2.0	-4.087956990400991	1.0	-4.493694383181315	1.0	-7.276876841136039	1.0	-4.612611215030081	1.0	-0.34933741419017544	1.0		0.0
samp_57	-1.372437698674687	-4.966618172586467	1.0	-2.317523116346029	1.0		0.0		0.0	-0.6298024663056606	2.0	-4.6614811770519875	1.0	-4.778023435051366	1.0	-5.10448945254136	2.0		0.0	-4.138552805704919	1.0	-4.552838987964238	1.0	-7.3636651944837626	1.0		0.0	-0.3517092255577932	3.0	-4.962009714240838	1.0
samp_58	-1.3242885712357981	-4.982905951030974	1.0	-2.3156743424088724	3.0		0.0	-4.613716172264274	1.0	-0.6289794248700806	1.0	-4.677159365720927	2.0		0.0	-5.121166106707669	1.0		0.0	-4.15088106702799	1.0		0.0	-7.385950292800789	1.0	-4.692525707281332	2.0	-0.3521887492253515	2.0		0.0
samp_59	-1.0645817714846368		0.0	-2.301944491455845	1.0	-4.905839723573421	3.0		0.0	-0.6245147150599235	1.0	-4.757865464427495	2.0	-4.8738167163401815	1.0	-5.207654804390695	1.0	-1.6062985616037495	2.0		0.0		0.0		0.0	-4.774960383920424	2.0		0.0	-5.066308973355999	2.0
samp_60	-1.6101771925179338	-4.883480179004707	1.0	-2.322381314678526	2.0		0.0	-4.521304339725511	1.0		0.0		0.0	-4.698110916012398	1.0	-5.019610459627819	3.0	-1.6406484546856188	2.0	-4.073520629273249	1.0		0.0	-7.253230044306436	1.0	-4.594763295616296	1.0	-0.3485410320448696	2.0		0.0
samp_61	-1.2259646356482432		0.0		0.0	-4.855921801877437	1.0	-4.643712249916331	1.0	-0.6272756620985943	3.0		0.0		0.0	-5.154613010982991	2.0	-1.6169073374468101	1.0		0.0	-4.596755234154831	2.0	-7.431211827073803	2.0		0.0	-0.3530274351256461	2.0	-5.012676839056469	1.0
samp_62	-1.1656665269661366	-5.035135877589211	2.0		0.0	-4.874882288325166	2.0		0.0		0.0		0.0		0.0		0.0		0.0	-4.189457807785405	4.0	-4.61417848967676	1.0	-7.458832260145565	2.0	-4.7436556530344385	1.0		0.0	-5.032970407484063	3.0
samp_63	-1.1275348149401785	-5.047338732334458	2.0		0.0	-4.886676110843936	1.0	-4.672725932947633	2.0	-0.6255876409203454	3.0	-4.738927792889169	2.0	-4.854991696112643	1.0		0.0	-1.6104107714748115	1.0		0.0		0.0	-7.476207308049242	1.0	-4.75558761352789	1.0		0.0	-5.045673533390392	1.0
