run	log_tbg	log_alphap	log_betap	b13H4_log_P	b13H4_weight	b13H5_log_P	b13H5_weight	b13H6_log_P	b13H6_weight	b13H7_log_P	b13H7_weight	b13H8_log_P	b13H8_weight	b13H9_log_P	b13H9_weight	b13I1_log_P	b13I1_weight	b13I3_log_P	b13I3_weight	b13I4_log_P	b13I4_weight	b13I5_log_P	b13I5_weight	b13I7_log_P	b13I7_weight	b13I8_log_P	b13I8_weight	b13I9_log_P	b13I9_weight	b14A1_log_P	b14A1_weight	b14A2_log_P	b14A2_weight	b14A4_log_P	b14A4_weight	b14A5_log_P	b14A5_weight	b14A6_log_P	b14A6_weight	b14A7_log_P	b14A7_weight	b3G7_log_P	b3G7_weight
samp_23	-6.847753657193262	2.878018417467913	-0.0773960905520207	-8.794952822008604	2.0	-6.883541490892111	2.0	-7.436365868602144	1.0	-9.918559714698425	2.0		0.0	-7.753243131156755	1.0		0.0		0.0	-2.9706114931388483	1.0	-5.254328491136288	2.0		0.0		0.0	-11.991584943310468	1.0		0.0	-4.647972684445607	3.0	-5.206723968726739	1.0	-4.368956514653241	2.0		0.0		0.0	-4.594851233098595	2.0
samp_24	-6.39580927742311	2.67977391300527	-0.08672603391223235	-8.758639165173749	1.0	-6.790372320727717	1.0	-7.359684444374482	4.0	-9.864964871705215	1.0		0.0	-7.670674762287191	1.0		0.0	-5.829469482109865	1.0	-2.92235693022613	2.0	-5.16035315294884	1.0	-4.242053241685251	1.0	-10.752799711447198	1.0	-12.41637592501266	2.0	0.6194854707027075	1.0		0.0	-5.112645101612436	1.0	-4.282549067665589	1.0		0.0	-8.83950914384675	1.0		0.0
samp_25	-7.446992043368065	3.0716131594918155	-0.19830536116192124		0.0	-6.904930391838212	1.0	-7.437115027265351	1.0	-9.83856855410737	1.0	-7.339529065881022	1.0		0.0		0.0	-5.951745757113623	1.0	-2.9518917434874052	2.0		0.0	-4.343736166420809	2.0		0.0		0.0	0.6414449116706258	1.0	-4.666740061037354	2.0	-5.231457384598521	2.0	-4.385893803167632	2.0	-7.334463167162393	2.0		0.0	-4.61533778048492	2.0
samp_26	-5.561044724481811	3.2708566008375053	-0.20684241577051388	-9.441893700115994	1.0		0.0		0.0		0.0	-7.602365708681027	1.0	-8.094258179299707	2.0	-11.045860781861558	1.0	-6.093157062527248	2.0	-2.9818993654951473	1.0	-5.392580595447237	1.0	-4.427462457234006	2.0	-12.609977960442166	2.0		0.0	0.638481141713414	2.0	-4.760464711855238	1.0	-5.342719773623102	1.0	-4.470982992516598	1.0		0.0		0.0	-4.707249617053324	2.0
samp_27	-6.394101909706636	2.3493242277127697	0.47663025785745977	-8.940645183455798	1.0	-6.918587510825306	1.0		0.0	-10.045114458126685	1.0		0.0		0.0	-10.325901266318397	1.0		0.0		0.0	-5.288970897837602	2.0	-4.380686159840625	1.0	-11.03842595407886	1.0	-12.633144036279687	3.0		0.0	-4.695114133824324	3.0		0.0	-4.419969036214921	1.0	-7.363901266478611	2.0	-9.015599601677938	2.0	-4.638109431208881	1.0
samp_28	-6.441277230402823	2.920647360744811	-0.12437976292191706	-8.901477406202108	2.0		0.0	-7.4736114443676795	1.0	-10.010215222161468	3.0		0.0	-7.785689296832505	1.0	-10.273112815720923	1.0		0.0	-2.9584391605622615	1.0	-5.254020024310533	1.0	-4.323344599009014	1.0	-10.961121112680067	1.0	-12.509763868784537	1.0	0.6276895544181769	3.0	-4.64482739002713	1.0	-5.206135369782627	1.0		0.0	-7.340936054236193	1.0		0.0	-4.5917477382289205	1.0
samp_29	-6.067906140123945	3.363282503282499	-0.42142212955789393	-9.147703273405465	3.0	-6.9939599533701236	3.0	-7.6172225920981536	1.0	-10.218408717752451	1.0		0.0		0.0	-10.603704932855589	2.0	-6.002158988566273	2.0	-2.9065048842945833	2.0		0.0		0.0	-11.48782700034447	1.0	-14.337146435192652	1.0		0.0		0.0		0.0	-4.393852637214594	2.0		0.0		0.0	-4.630794982505443	2.0
samp_30	-6.237743443448396	3.2864541511395253	-0.3419856610809802	-9.089669323587177	1.0		0.0	-7.590132574965089	1.0	-10.177468241656582	1.0	-7.443841053108428	2.0		0.0	-10.519949072548796	2.0	-6.00103485041007	1.0	-2.926595591410276	1.0	-5.313681279647162	1.0	-4.3593991324079715	4.0		0.0		0.0		0.0		0.0	-5.265492527969663	2.0		0.0	-7.440409754599224	2.0	-9.152812764845866	1.0	-4.637828759644484	1.0
samp_31	-6.136772331452039	2.5865365695179863	0.07294478610394596	-8.887197236421422	2.0		0.0	-7.431896663094168	2.0		0.0		0.0		0.0	-10.295060717082196	1.0	-5.87057192179886	2.0	-2.9757781497321303	1.0		0.0		0.0	-11.087027427515116	2.0	-13.476590009807829	3.0		0.0	-4.600032465783379	2.0		0.0	-4.32316987176612	2.0	-7.287106053681094	1.0	-8.954760890988982	2.0		0.0
samp_32	-6.557953200628741	2.9646593557006082	-0.09477882830514814	-8.924127086312552	1.0		0.0	-7.503747438886294	1.0	-10.040814754280746	1.0	-7.378430362116633	2.0	-7.8178075611053215	2.0	-10.28917172366642	1.0	-5.963701431022964	1.0		0.0	-5.288344841940374	2.0	-4.355312995544732	1.0		0.0	-12.387065123812985	1.0	0.6208405927765879	2.0	-4.67779322576383	1.0	-5.240452504549827	1.0		0.0	-7.374322643162549	1.0		0.0	-4.624762396752718	2.0
