run	log_tbg	log_alphap	log_betap	b9D1_log_P	b9D1_weight	b9D2_log_P	b9D2_weight	b9D3_log_P	b9D3_weight	b9D4_log_P	b9D4_weight	b9D6_log_P	b9D6_weight	b9D8_log_P	b9D8_weight	b9D9_log_P	b9D9_weight	b9E1_log_P	b9E1_weight	b9E2_log_P	b9E2_weight	b9E3_log_P	b9E3_weight	b18A8_log_P	b18A8_weight	b18A9_log_P	b18A9_weight	b18B2_log_P	b18B2_weight	b18B5_log_P	b18B5_weight	b18B6_log_P	b18B6_weight	b18B7_log_P	b18B7_weight	b18B8_log_P	b18B8_weight	b18C1_log_P	b18C1_weight	b18C6_log_P	b18C6_weight	b18C7_log_P	b18C7_weight
samp_09	-23.952606270124292	2.6519336463639687	-1.209194405701842	-6.508850999981565	1.0		0.0		0.0		0.0	-7.915558816754878	3.0	-5.5658423993633335	2.0	-9.404184766235808	2.0		0.0	-8.348899834512121	1.0		0.0	-2.0709550126672314	1.0	-3.1218061614497965	3.0		0.0	-5.991208638519904	1.0	-7.15214852919794	1.0		0.0	-4.307503951061794	2.0	-3.8362332766926546	1.0		0.0	-5.759511254622774	2.0
samp_10	-21.923642208905903	1.6578971072589108	-0.21208309670099668	-6.51738839491177	1.0		0.0	-1.4819935821411439	1.0	-7.91757568790315	2.0	-7.918869315078154	1.0		0.0	-9.406014142826322	1.0		0.0		0.0	-8.333745620714163	3.0		0.0	-3.2816464997274575	2.0		0.0	-6.0059628779039755	1.0	-7.155606072744609	3.0	-4.552122007636647	1.0		0.0		0.0	-6.332601117441187	3.0	-5.776831435368809	1.0
samp_11	-22.526250974289862	1.1061859325033871	0.1777859779128894	-6.438074768016395	1.0	-6.910785921201871	1.0	-1.5144658329068281	1.0	-7.836968038736705	1.0	-7.8383779180797815	2.0		0.0		0.0	-8.925476015958717	1.0	-8.270572146936532	1.0		0.0	-2.3012086613858886	1.0		0.0	-6.682763941832768	1.0	-5.9281409348682	1.0	-7.075167155052157	1.0	-4.483329160493346	2.0	-4.299776023597739	2.0		0.0	-6.254179495553418	2.0	-5.699586762551359	2.0
samp_12	-22.756361953941465	1.4017242203350573	-0.021809808742148398	-6.485301910524176	1.0		0.0	-1.5048190670962394	1.0	-7.884798277415538	2.0	-7.886155502059462	2.0	-5.551635044683048	1.0		0.0	-8.97337024568411	3.0	-8.318465836161117	1.0	-8.30092302241481	1.0	-2.306001018987444	1.0		0.0		0.0	-5.974702314498645	2.0		0.0	-4.525706306142995	1.0	-4.34123655603293	3.0		0.0		0.0	-5.745882183410275	1.0
samp_13	-21.748692258040254	1.5157450951198286	-0.04979814034580169		0.0	-7.001202848015862	2.0	-1.5251074363335606	1.0	-7.927745127319296	1.0	-7.9290980372964315	1.0	-5.593948893681219	2.0		0.0	-9.016350599779194	1.0	-8.361438176931262	3.0	-8.34388751452624	3.0		0.0	-3.3066200004340978	1.0	-6.772882206690552	1.0		0.0		0.0	-4.566374684692255	1.0	-4.381498245442161	1.0		0.0	-6.343550658980004	1.0	-5.7881911427595965	1.0
samp_14	-22.066529502558573	1.6014266496153948	-0.15020289374179238		0.0		0.0	-1.4975692132218978	1.0		0.0		0.0	-5.585842143047239	2.0	-9.408800847623565	1.0		0.0	-8.354040118048525	3.0	-8.336482409245821	3.0	-2.3061692765698965	1.0		0.0	-6.765244694786758	2.0		0.0	-7.158376431538797	1.0	-4.556535087831608	3.0	-4.3712346469476415	1.0		0.0	-6.335654402576557	2.0		0.0
samp_15	-22.135231898920384	3.4195857394685523	-1.8237045634956723		0.0	-7.055243544912242	1.0		0.0		0.0		0.0	-5.6156433788095885	2.0	-9.480120408318733	1.0	-9.07979705535877	1.0	-8.423857471921663	1.0	-8.40618281930768	1.0		0.0		0.0	-6.8212373633965315	2.0	-6.04458405256683	1.0	-7.22496430087827	3.0	-4.495777582980429	1.0		0.0	-3.798221685223533	3.0	-6.377816111144431	1.0	-5.8085336849036935	2.0
samp_16	-24.05024083682129	2.5123756911748414	-1.0521240845639481	-6.5190580419625315	1.0		0.0		0.0	-7.92367163885681	2.0		0.0	-5.577718156070938	1.0	-9.413009774689222	2.0		0.0	-8.357839481279765	2.0	-8.340249799777508	1.0	-2.104890006613722	2.0	-3.158604801715792	3.0	-6.764956515616953	1.0	-6.002724751111553	1.0	-7.1612972809763855	1.0		0.0		0.0		0.0	-6.3312311802926065	2.0	-5.7715555377575685	1.0
samp_17	-22.389136886523197	1.5130151150711777	-0.12883135291497666		0.0	-6.960290091872221	1.0	-1.482390603232065	1.0	-7.886865465408175	1.0	-7.8882135524255155	2.0		0.0		0.0	-8.975477778997638	2.0		0.0		0.0	-2.28767407489972	1.0	-3.2641460393700807	1.0	-6.731979763572081	1.0	-5.97613686988434	2.0	-7.124933519646419	3.0		0.0	-4.3401269619724125	1.0		0.0	-6.302545740890216	2.0	-5.747179260626841	2.0
samp_18	-21.989628820230237	2.224635744319826	-0.867115489751601	-6.470008013523215	1.0	-6.944963477934582	1.0		0.0	-7.872790697560976	1.0		0.0		0.0	-9.361754613525324	1.0		0.0	-8.306765973890414	1.0		0.0	-2.121757965937681	2.0	-3.15883168500613	2.0	-6.715504043280726	2.0	-5.955697033328992	2.0	-7.110633516213265	1.0	-4.48451284283051	1.0	-4.295357956969084	1.0	-3.835758756351686	2.0	-6.283379500198842	1.0	-5.725377662620809	1.0
