run	log_tbg	log_alphap	log_betap	b14D6_log_P	b14D6_weight	b14D7_log_P	b14D7_weight	b14D8_log_P	b14D8_weight	b15A2_log_P	b15A2_weight	b15A3_log_P	b15A3_weight	b15A5_log_P	b15A5_weight	b15A6_log_P	b15A6_weight	b15A7_log_P	b15A7_weight	b15A9_log_P	b15A9_weight	b15B1_log_P	b15B1_weight	b15B2_log_P	b15B2_weight	b15B3_log_P	b15B3_weight	b15B4_log_P	b15B4_weight	b15B5_log_P	b15B5_weight	b15B6_log_P	b15B6_weight	b15B7_log_P	b15B7_weight	b15B8_log_P	b15B8_weight	b15B9_log_P	b15B9_weight	b15C1_log_P	b15C1_weight	b15C2_log_P	b15C2_weight	b15C5_log_P	b15C5_weight
samp_71	-5.106811650322995	5.549332127129118	-0.00690800260202674		0.0	-5.19820954750218	1.0	-5.237691799332079	1.0	-6.752267786047713	1.0	-5.692483491084955	1.0		0.0		0.0	-3.6618746225133822	3.0	-6.627792858384335	3.0		0.0		0.0	-7.1213650685493075	1.0	-2.5429145536932167	1.0	-4.094423437306036	1.0	-10.60384369425409	1.0	-4.083535815731681	2.0	-7.039573084532856	2.0		0.0	-5.750263101045473	2.0		0.0	-5.247297793876004	1.0
samp_72	-6.185928405037068	4.89575107274883	0.26697377304440423		0.0		0.0	-5.167461853826213	2.0		0.0	-5.582201108670653	1.0	-4.172590978843648	1.0	-3.248276076482208	2.0		0.0	-6.396034072332578	1.0	-10.429927770352549	3.0	-7.958154945497032	1.0	-6.779737509421497	1.0		0.0		0.0		0.0	-4.075931101996657	1.0	-6.746626502255512	3.0	-10.001399372080007	4.0		0.0	-6.98315997462574	1.0		0.0
samp_73	-5.8264746006874875	5.072484160888844	0.2031226508278364	-5.160770218710617	1.0		0.0	-5.192712293817631	2.0	-6.572217406881858	1.0	-5.617960299914081	2.0		0.0	-3.2404425326011124	1.0		0.0	-6.458842592742671	1.0	-10.570215087068647	1.0	-8.09364820143652	2.0	-6.864372221668481	2.0	-2.5548020125849344	1.0	-4.111547264731849	1.0	-10.206805150021498	1.0	-4.079941222206379	1.0	-6.822767838834972	3.0		0.0		0.0		0.0	-5.188975768999367	1.0
samp_74	-5.6285907176905985	5.145034799994006	0.041985270422483185		0.0	-5.1120079417090984	2.0	-5.147838331148657	1.0		0.0	-5.569957622777383	1.0		0.0		0.0	-3.6631215905272083	2.0		0.0	-10.50292238077345	1.0		0.0	-6.825607274150629	1.0	-2.5419227155669093	3.0	-4.0758009671345325	5.0	-10.160953075077018	2.0		0.0		0.0		0.0	-5.626473802585052	2.0	-7.0339221771603135	1.0		0.0
samp_75	-6.545655638398702	4.8455511702635095	0.3068106999517359	-5.134163627703317	1.0		0.0		0.0	-6.491324798831283	3.0	-5.577757396134791	1.0	-4.176166475176737	1.0	-3.2540390081579775	1.0		0.0	-6.382405208705	1.0	-10.36404235679073	1.0	-7.905117864940934	1.0	-6.754735078994077	2.0	-2.56558529374896	1.0		0.0		0.0	-4.079680119109546	4.0	-6.726942494865767	2.0		0.0	-5.63630354099097	1.0	-6.957201678113008	1.0		0.0
samp_76	-5.735277597045427	4.914010487533657	0.32838921769207996	-5.17639578745802	2.0	-5.17475921564871	1.0		0.0	-6.573182782693527	1.0	-5.632967460513859	1.0	-4.197934429754828	1.0	-3.261261899761515	1.0		0.0		0.0	-10.547068008135358	2.0		0.0	-6.87132202945616	1.0		0.0	-4.14084598632156	1.0	-10.195639734668436	3.0	-4.099763788619804	2.0	-6.823892198511198	1.0	-10.170245769518136	1.0		0.0	-7.073220586672995	2.0	-5.199902777588287	1.0
samp_77	-5.438411218880503	5.492128602034057	0.026245568054810185	-5.193249902542007	2.0	-5.184604981288591	1.0		0.0	-6.701262096808909	1.0	-5.668613570205161	3.0		0.0	-3.2240667938073515	2.0	-3.6623095180227874	2.0	-6.579194636873454	2.0		0.0	-8.353139358149368	1.0	-7.031834429515205	1.0	-2.542947560270154	1.0	-4.0923503364413465	1.0	-10.534853399281102	1.0	-4.079636886136797	1.0		0.0	-10.471787299062768	1.0		0.0		0.0	-5.232623496420092	1.0
samp_78	-5.231178074676661	5.588020088614958	0.011117310205005008	-5.2146349214694965	2.0		0.0	-5.244878190677262	1.0		0.0		0.0		0.0		0.0	-3.6621886339269163	2.0	-6.639917067401827	2.0		0.0	-8.463892377057967	3.0	-7.125626760963804	1.0	-2.5433298513313387	1.0	-4.096321951580539	3.0	-10.644922456649072	1.0	-4.086986922684543	1.0		0.0		0.0	-5.756275277234648	1.0	-7.342571355970599	1.0	-5.256295722695121	2.0
samp_79	-5.7661686679907085	5.158715483024448	0.19237826692280022	-5.178552131255068	1.0	-5.173945250142826	1.0	-5.2103904175541365	1.0		0.0	-5.641124567461975	1.0	-4.184301448421412	1.0	-3.239564159490162	1.0	-3.6917891725338308	1.0	-6.49573294617335	1.0		0.0	-8.15960277504876	1.0	-6.90961373994682	1.0		0.0	-4.113591552767301	2.0		0.0	-4.085716968768369	2.0	-6.865488740454695	2.0	-10.270194815314888	2.0		0.0	-7.119309981041396	1.0	-5.2087662391197735	2.0
samp_80	-6.52724241351088	5.042395331995634	0.2769502114624844		0.0	-5.168579634391214	2.0		0.0	-6.563395660329576	3.0	-5.625084819149124	2.0	-4.189454502626905	3.0	-3.2488916640254137	2.0		0.0	-6.451958780473672	3.0	-10.524500503249755	1.0		0.0	-6.830047205439984	1.0		0.0		0.0		0.0	-4.091206177411395	2.0	-6.80314991635396	1.0		0.0		0.0		0.0	-5.2001811830431395	1.0
samp_81	-6.238961725156017	4.792474905606441	0.3847343657143352	-5.157665264999199	1.0	-5.156792343327392	3.0	-5.190629328235114	2.0		0.0	-5.604303576120655	1.0	-4.1961857712207316	1.0	-3.2698433164467855	1.0		0.0	-6.410110682999387	1.0	-10.4368499613892	2.0		0.0		0.0		0.0		0.0		0.0	-4.099055519502351	2.0		0.0	-10.002384899032139	2.0	-5.665235514308333	3.0	-6.994107097725228	1.0	-5.179158379741914	1.0
samp_82	-5.089807712944686	5.4061835472753526	0.0553725923155613		0.0	-5.196826558919296	1.0		0.0	-6.720793305019	1.0		0.0	-4.185039383564243	2.0	-3.229556105156283	1.0	-3.6726518738465455	2.0	-6.599384904151792	3.0		0.0		0.0	-7.084797189408138	2.0	-2.5462918401194665	1.0	-4.102725321055397	1.0	-10.526097627517046	1.0	-4.085571733793244	1.0	-7.002866571050466	3.0		0.0	-5.747630096214812	1.0	-7.289287369255797	1.0		0.0
samp_83	-5.832923393924353	5.269706400546913	0.16081600589264403	-5.1886247124414115	3.0	-5.18263899727377	3.0	-5.219892544063972	1.0		0.0	-5.654534922361366	2.0		0.0	-3.235321879342096	2.0		0.0	-6.522523717620944	1.0	-10.713550564112785	2.0		0.0		0.0		0.0	-4.109130661808533	1.0	-10.368784780007571	2.0	-4.086506181767427	1.0	-6.895609291949139	1.0		0.0	-5.7112510518079835	1.0		0.0	-5.22199726020877	1.0
samp_84	-5.744363721898501	5.450398467333174	0.08867951669097104	-5.198750148756057	2.0	-5.190479774925189	1.0	-5.229038853322691	2.0	-6.687406163851466	1.0	-5.670823227216032	2.0	-4.184244676986455	1.0	-3.228196008003652	1.0	-3.6690521386128045	1.0	-6.567104882008435	2.0		0.0	-8.300898112557572	1.0		0.0	-2.545491988347545	1.0	-4.099453773003122	1.0		0.0	-4.084933296073405	1.0	-6.951420809445287	1.0	-10.4564726511339	2.0		0.0		0.0	-5.237293404003784	1.0
samp_85	-5.782510445154626	5.00220927785724	0.2353305903379282	-5.157771999726022	1.0	-5.154842789464328	1.0	-5.1901034579292675	1.0	-6.560022718938184	1.0	-5.613444255266316	1.0		0.0	-3.245365593814038	2.0		0.0		0.0		0.0		0.0	-6.853613382600213	1.0		0.0	-4.117275348674542	1.0		0.0	-4.082013292023045	2.0	-6.810035910298761	3.0	-10.157653222308477	1.0	-5.673547748029515	2.0	-7.058446358352088	3.0	-5.184052915081466	1.0
samp_86	-5.742476725728159	5.423146029977272	0.03535844936375166	-5.173085641181523	2.0	-5.164924260487964	1.0		0.0	-6.644627494325164	2.0	-5.638949800214606	2.0		0.0	-3.222280235501487	1.0	-3.660973723112412	2.0		0.0		0.0	-8.237713069806723	1.0	-6.946349209815326	1.0	-2.5422086301216837	1.0	-4.087262402366703	1.0		0.0		0.0	-6.905342067820571	3.0	-10.37745943855878	2.0		0.0		0.0	-5.211145043019759	2.0
samp_87	-5.976735300467789	5.286359491185349	0.04723458006284625	-5.143661027231353	1.0		0.0		0.0		0.0	-5.599734297998799	1.0		0.0	-3.2207549467257186	3.0	-3.661601118270345	1.0	-6.457955297988955	2.0	-10.610362957901927	2.0		0.0		0.0	-2.541914079860231	2.0	-4.081328568150585	1.0	-10.224956252583546	1.0		0.0	-6.823830593504173	1.0	-10.21574781748815	2.0	-5.652974426862502	1.0	-7.071958373637891	2.0	-5.178407724054524	1.0
samp_88	-5.867585930365962	4.905931645077	0.23551386751395917	-5.1302364053652525	2.0	-5.128050305314962	1.0		0.0	-6.509483361843353	1.0	-5.579196997163512	1.0	-4.167292205504559	2.0	-3.2443276672724455	2.0		0.0		0.0	-10.443525555227236	1.0		0.0	-6.794902071905402	2.0	-2.558860384117702	1.0	-4.109918440202664	1.0	-10.053636525563038	1.0	-4.070779351595111	1.0	-6.754727713697758	1.0		0.0	-5.63914024838487	2.0	-6.997527116636193	2.0		0.0
samp_89	-6.071871394778189	4.916827689726988	0.33218651884715866	-5.171328926757551	2.0	-5.16933856713678	2.0		0.0		0.0	-5.624062263718351	4.0	-4.195781677840814	2.0		0.0	-3.7253075836558587	1.0	-6.445417791524257	1.0	-10.523265364128903	1.0	-8.034900541769847	1.0		0.0		0.0		0.0		0.0	-4.097802964619014	2.0		0.0	-10.11422855776202	2.0		0.0	-7.041738765807475	2.0	-5.195506178381968	1.0
samp_90	-5.56125706634286	5.2486324366393395	0.21093053179731278	-5.213162687118436	1.0	-5.207975126586951	1.0	-5.245408392505375	1.0	-6.682028253395319	1.0		0.0	-4.1998927800486605	2.0		0.0	-3.695854739689289	1.0	-6.564337947336659	1.0		0.0	-8.28660445763818	1.0		0.0		0.0	-4.124703715553681	1.0	-10.455769502436489	1.0	-4.099981159177963	2.0		0.0	-10.402747373477027	2.0	-5.747014455677774	2.0	-7.212798294620276	1.0	-5.245021082948374	3.0
