run	log_tbg	log_alphap	log_betap	b14A8_log_P	b14A8_weight	b14A9_log_P	b14A9_weight	b14B1_log_P	b14B1_weight	b14B2_log_P	b14B2_weight	b14B3_log_P	b14B3_weight	b14B4_log_P	b14B4_weight	b14B5_log_P	b14B5_weight	b14B6_log_P	b14B6_weight	b14B7_log_P	b14B7_weight	b14B8_log_P	b14B8_weight	b14B9_log_P	b14B9_weight	b14C1_log_P	b14C1_weight	b14C2_log_P	b14C2_weight	b14C3_log_P	b14C3_weight	b14C4_log_P	b14C4_weight	b14C5_log_P	b14C5_weight	b14C6_log_P	b14C6_weight	b14C7_log_P	b14C7_weight	b14C8_log_P	b14C8_weight	b3E5_log_P	b3E5_weight
samp_09	-5.976736955716476	4.5058625869984805	-0.08735702239551317		0.0	-12.239849515365972	1.0	-5.9515848134416345	1.0		0.0		0.0	-5.380350386995277	1.0	-11.103398665970879	1.0	-6.37986534170785	2.0		0.0	-3.523032347799314	1.0		0.0	-9.953011712521711	3.0	-3.4561921705903265	2.0	-5.754614673508303	2.0	-9.125768904742518	3.0	-3.670391455365106	1.0		0.0	-5.199765942050746	1.0		0.0	-4.49949544937246	1.0
samp_10	-5.931411346900531	4.756895572336852	-0.1672346605802465	-10.504093586405254	1.0		0.0	-6.017676373946772	2.0	-11.17767468276028	3.0	-10.31406835654205	2.0		0.0	-11.28041869978991	1.0		0.0		0.0		0.0		0.0	-10.122946710711398	1.0	-3.4543777797796364	2.0		0.0	-9.29316815885527	1.0	-3.6620167948638787	2.0	-5.42222280342282	3.0		0.0	-5.153510878411186	2.0		0.0
samp_11	-5.9301647315730355	4.499109755396951	-0.052317478771767074		0.0	-12.290712897371579	2.0	-5.968569561862377	1.0	-11.038135902098167	1.0	-10.174230286693904	1.0	-5.396506929750795	1.0	-11.141087536211005	2.0	-6.398273873871332	2.0	-7.227084269269857	1.0	-3.5326317304630033	1.0	-11.80399424510021	2.0	-9.988855760584531	1.0	-3.4650386839765455	1.0		0.0		0.0		0.0		0.0	-5.215601103451317	2.0		0.0	-4.512964789705293	2.0
samp_12	-5.797791452273939	4.844694052070417	-0.24317993525974854	-10.546895983067971	2.0	-12.515897276689838	2.0	-6.019735668369328	1.0		0.0		0.0	-5.420767434149834	1.0	-11.320080255570593	1.0		0.0		0.0	-3.5030053760645923	4.0	-12.008609628880167	2.0	-10.157630189807133	1.0	-3.4445451431856755	1.0		0.0	-9.339514431590809	1.0	-3.6481466608680564	2.0	-5.417186168321284	2.0		0.0		0.0		0.0
samp_13	-6.0447480018433755	4.171952629141243	0.15741004358575028		0.0	-12.119455290913512	1.0	-5.928998946357295	1.0	-10.89891518133472	1.0	-10.032492936392465	1.0	-5.377070163849035	2.0	-11.001681081961541	2.0		0.0	-7.15414457738408	1.0		0.0		0.0	-9.856628386968262	3.0	-3.499465341468742	1.0	-5.7413748929430275	1.0	-9.030809913245495	1.0		0.0		0.0	-5.20327187749034	3.0	-5.117108816638785	2.0		0.0
samp_14	-5.853121431354491	4.743062344014763	-0.21005942328692262		0.0	-12.416651801938475	1.0	-5.99273486231563	1.0		0.0	-10.274784376423215	1.0	-5.403227078690572	2.0	-11.241470243688681	2.0	-6.431509611043399	1.0		0.0	-3.505389006957967	1.0	-11.91877318307084	2.0		0.0		0.0	-5.787455748642828	1.0	-9.261913152106745	2.0	-3.651014675975502	2.0	-5.399087054844139	1.0	-5.216640068568812	1.0		0.0	-4.501077481986481	2.0
samp_15	-5.86784264634397	4.743423538391328	-0.19680302440779598		0.0		0.0	-5.999218525520348	3.0	-11.148385987534164	1.0	-10.285100864366061	1.0		0.0		0.0	-6.438144073772669	1.0	-7.287082704907378	1.0	-3.508366090101144	1.0		0.0		0.0	-3.4474997172612616	2.0		0.0	-9.270638466821675	1.0	-3.6542950421824405	4.0	-5.405222515487186	4.0		0.0	-5.137504601578098	1.0		0.0
samp_16	-5.81178123440654	4.465335379591666	-0.09596970248173353	-10.310349519388145	3.0	-12.277257645004129	3.0		0.0		0.0	-10.124742431894553	2.0		0.0		0.0		0.0	-7.195043852685106	1.0	-3.519151233227808	2.0		0.0	-9.938692186477969	1.0		0.0	-5.73955943244617	3.0	-9.12549508831115	1.0		0.0	-5.360029048192281	2.0	-5.185954459523663	1.0	-5.1004539166561695	1.0		0.0
samp_17	-5.990508441550433	4.348527840947769	0.02876931516304631		0.0	-12.192173051625849	3.0	-5.942790101105127	2.0	-10.957491575585493	2.0		0.0	-5.380888272276575	1.0	-11.060284891733728	1.0		0.0	-7.182893222629661	2.0		0.0		0.0		0.0	-3.4754284485116895	1.0	-5.750523165939046	1.0	-9.086513813945079	1.0	-3.6961119312404236	1.0	-5.374513236653129	2.0		0.0	-5.117590869069044	2.0	-4.511496639025788	1.0
samp_18	-5.702461647681546	4.602409965166822	-0.15206455380234976	-10.416719037637552	3.0	-12.42590264004734	1.0		0.0		0.0	-10.22473776811631	2.0	-5.3894491887182205	2.0		0.0	-6.406371188303922	2.0	-7.25657158357989	1.0	-3.513228444045844	2.0	-11.896148901536419	1.0		0.0		0.0	-5.769794359986837	1.0	-9.22476391721782	3.0		0.0	-5.384239720033509	1.0		0.0	-5.120140749489543	1.0		0.0
